This file provides a binary-file-specific mapping of applicable open source
license terms. This mapping file is still a work in progress and should not be
relied upon at this stage as it is incomplete. Updated versions will be
published as they become available. Contact licensing@qnx.com if you have
questions or require additional information.

Binary Name,Legal ID,Runtime Module
bin/aps,OO:1436,Adaptive Partitioning
bin/aps,OO:1448,Adaptive Partitioning
bin/asa,OO:1448,Neutrino Core OS
bin/cat,OO:1436,Neutrino Core OS
bin/cat,OO:1448,Neutrino Core OS
bin/chmod,OO:1448,Neutrino Core OS
bin/chown,OO:1448,Neutrino Core OS
bin/confstr,OO:1448,Neutrino Core OS
bin/cp,OO:1436,Neutrino Core OS
bin/cp,OO:1448,Neutrino Core OS
bin/csplit,OO:1436,Neutrino Core OS
bin/csplit,OO:1439,Neutrino Core OS
bin/csplit,OO:1446,Neutrino Core OS
bin/csplit,OO:1448,Neutrino Core OS
bin/dd,GPL:92,gpl
bin/dd,GPL:93,gpl
bin/dd,GPL:96,gpl
bin/dd,GPL:98,gpl
bin/dd,OO:1436,gpl
bin/dd,OO:1448,gpl
bin/df,OO:1448,Neutrino Core OS
bin/dispconf,OO:1436,Core Graphics
bin/dispconf,OO:1448,Core Graphics
bin/du,OO:1448,Neutrino Core OS
bin/dumpifs,MD5:5,Neutrino Core OS
bin/dumpifs,OO:1448,Neutrino Core OS
bin/dumpifs,ZLIB:13,Neutrino Core OS
bin/dumpifs,ZLIB:17,Neutrino Core OS
bin/echo,OO:1448,Neutrino Core OS
bin/ed,BSD1:198,Neutrino Core OS
bin/ed,BSD1:229,Neutrino Core OS
bin/ed,BSD1:84,Neutrino Core OS
bin/ed,BSD2:107,Neutrino Core OS
bin/ed,BSD2:145,Neutrino Core OS
bin/ed,BSD3:18,Neutrino Core OS
bin/ed,BSD3:33,Neutrino Core OS
bin/ed,OO:1436,Neutrino Core OS
bin/ed,OO:1439,Neutrino Core OS
bin/ed,OO:1446,Neutrino Core OS
bin/ed,OO:1448,Neutrino Core OS
bin/elvis,BSD1:125,Neutrino Core OS
bin/elvis,BSD1:207,Neutrino Core OS
bin/elvis,BSD1:218,Neutrino Core OS
bin/elvis,BSD1:229,Neutrino Core OS
bin/elvis,OO:1435,Neutrino Core OS
bin/elvis,OO:1436,Neutrino Core OS
bin/elvis,OO:1448,Neutrino Core OS
bin/elvis,OO:305,Neutrino Core OS
bin/esh,OO:1436,Neutrino Core OS
bin/esh,OO:1448,Neutrino Core OS
bin/fesh,OO:1436,Neutrino Core OS
bin/fesh,OO:1448,Neutrino Core OS
bin/hostname,OO:102,Networking Technology
bin/hostname,OO:1448,Networking Technology
bin/kill,OO:1436,Neutrino Core OS
bin/kill,OO:1448,Neutrino Core OS
bin/ln,OO:1448,Neutrino Core OS
bin/ls,OO:1436,Neutrino Core OS
bin/ls,OO:1448,Neutrino Core OS
bin/mkdir,OO:1448,Neutrino Core OS
bin/mount,BSD2:227,Neutrino Core OS
bin/mount,BSD2:232,Neutrino Core OS
bin/mount,OO:1448,Neutrino Core OS
bin/mv,OO:1448,Neutrino Core OS
bin/netmanager,BSD1:125,Networking Technology
bin/netmanager,BSD1:207,Networking Technology
bin/netmanager,BSD1:218,Networking Technology
bin/netmanager,BSD1:229,Networking Technology
bin/netmanager,BSD1:240,Networking Technology
bin/netmanager,BSD1:247,Networking Technology
bin/netmanager,BSD1:257,Networking Technology
bin/netmanager,BSD1:270,Networking Technology
